168, 164, 156, 105, 101, 92, 219, 223, 220, 231, 229, 225, 45, 44, 38, 225, 231, 232
62, 20, 5, 176, 78, 24, 238, 145, 49, 252, 238, 194, 128, 39, 14, 251, 205, 90
223, 221, 215, 194, 156, 135, 51, 37, 29, 121, 88, 71, 34, 33, 39, 220, 224, 220
236, 228, 223, 7, 2, 1, 8, 2, 5, 216, 154, 124, 2, 8, 4, 229, 4, 2
